algorithm,seed,episode,mean_reward,epsilon
Predictive Q-Learning,11,5,-0.7338211958701368,0.7048302872062664
Predictive Q-Learning,11,6,-2.1631595378251216,0.6453002610966058
Predictive Q-Learning,11,7,0.09090855999834557,0.5857702349869451
Predictive Q-Learning,11,8,-0.6394232519844448,0.5262402088772846
Predictive Q-Learning,11,9,1.102065576377566,0.466710182767624
Predictive Q-Learning,11,10,-1.8266935054347349,0.4071801566579635
Predictive Q-Learning,11,11,1.4666458333333334,0.34765013054830296
Predictive Q-Learning,11,12,-0.20218709535442345,0.28812010443864233
Predictive Q-Learning,11,13,-1.1950183534493255,0.22859007832898182
Predictive Q-Learning,11,14,-0.07170132947999876,0.1690600522193212
Predictive Q-Learning,11,15,1.4453190024366374,0.10953002610966056
Predictive Q-Learning,11,16,-0.545777903421779,0.050000000000000044
Predictive Q-Learning,11,17,0.40386476515698005,0.050000000000000044
Predictive Q-Learning,11,18,0.2139638700041203,0.050000000000000044
Predictive Q-Learning,11,19,-0.099973939263257,0.050000000000000044
Predictive Q-Learning,11,20,0.5920324233716476,0.050000000000000044
Predictive Q-Learning,22,1,-2.903212683664929,0.9429503916449086
Predictive Q-Learning,22,2,-0.2876825355472608,0.883420365535248
Predictive Q-Learning,22,3,0.6224246375357576,0.8238903394255874
Predictive Q-Learning,22,4,-0.7119364116570606,0.7643603133159269
Predictive Q-Learning,22,5,-0.6505341861071362,0.7048302872062664
Predictive Q-Learning,22,6,-0.11341169422556303,0.6453002610966058
Predictive Q-Learning,22,7,-0.5635268591341639,0.5857702349869451
Predictive Q-Learning,22,8,-1.8442965219705807,0.5262402088772846
Predictive Q-Learning,22,9,-0.39268292949992906,0.466710182767624
Predictive Q-Learning,22,10,0.11430149846830338,0.4071801566579635
Predictive Q-Learning,22,11,-1.2739399371638698,0.34765013054830296
Predictive Q-Learning,22,12,-2.652021588157989,0.28812010443864233
Predictive Q-Learning,22,13,-1.0512328296824534,0.22859007832898182
Predictive Q-Learning,22,14,-1.3909106266413165,0.1690600522193212
Predictive Q-Learning,22,15,0.2607172880172767,0.10953002610966056
Predictive Q-Learning,22,16,-0.6228615523389506,0.050000000000000044
Predictive Q-Learning,22,17,0.012721452715335202,0.050000000000000044
Predictive Q-Learning,22,18,-0.2793568480543596,0.050000000000000044
Predictive Q-Learning,22,19,-1.0630186182191312,0.050000000000000044
Predictive Q-Learning,22,20,-0.865690361768281,0.050000000000000044
Predictive Q-Learning,33,1,-1.6260985142320183,0.9429503916449086
Predictive Q-Learning,33,2,0.569984886819277,0.883420365535248
Predictive Q-Learning,33,3,0.7966786821947464,0.8238903394255874
Predictive Q-Learning,33,4,-0.2851455557051511,0.7643603133159269
Predictive Q-Learning,33,5,-0.31001101787334645,0.7048302872062664
Predictive Q-Learning,33,6,-0.257754889025707,0.6453002610966058
Predictive Q-Learning,33,7,-1.924727923509898,0.5857702349869451
Predictive Q-Learning,33,8,-0.7026076013551784,0.5262402088772846
Predictive Q-Learning,33,9,-0.05710742982991457,0.466710182767624
Predictive Q-Learning,33,10,0.09021579182612734,0.4071801566579635
Predictive Q-Learning,33,11,-1.681752800311174,0.34765013054830296
Predictive Q-Learning,33,12,0.4711918754842442,0.28812010443864233
Predictive Q-Learning,33,13,0.6048574507869888,0.22859007832898182
Predictive Q-Learning,33,14,-0.6120874763606872,0.1690600522193212
Predictive Q-Learning,33,15,-0.38841039022489426,0.10953002610966056
Predictive Q-Learning,33,16,-0.48123217465131085,0.050000000000000044
Predictive Q-Learning,33,17,0.4948407486882614,0.050000000000000044
Predictive Q-Learning,33,18,0.11126742643078213,0.050000000000000044
Predictive Q-Learning,33,19,1.1499791666666666,0.050000000000000044
Predictive Q-Learning,33,20,0.14324937631673254,0.050000000000000044
Predictive Q-Learning,44,1,-0.261653507808916,0.9429503916449086
Predictive Q-Learning,44,2,-1.3661260520662075,0.883420365535248
Predictive Q-Learning,44,3,-0.0206937308060615,0.8238903394255874
Predictive Q-Learning,44,4,-0.35409092984908136,0.7643603133159269
